Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
4806,WA,Alternative Fuel Vehicle (AFV) Emissions Inspection Exemption,"AFVs powered exclusively by electric, natural gas, liquefied petroleum
gas, and propane vehicles are exempt from state emissions control
inspections. Plug-in hybrid electric vehicles that obtain a U.S.
Environmental Protection Agency fuel economy rating of at least 50 miles
per gallon during city driving are also exempt from these inspections.

(Reference [Revised Code of Washington 46.16A.060](http://apps.leg.wa.gov/rcw/))",,,false,55,State Incentives,"",,,,,"",ELEC|NG|LPG,EXEM,"",FLEET|GOV|IND,http://apps.leg.wa.gov/rcw/
4841,WI,Alternative Fuel Vehicle and Alternative Fuel Use Policy,"The Wisconsin Department of Administration (DOA) encourages state
employees operating state-owned or leased motor vehicles to use hybrid
electric vehicles or vehicles that operate on gasohol (a motor fuel
containing at least 10% alcohol) or alternative fuels whenever feasible
and cost effective. DOA must place a list of gasohol and alternative
fueling station locations in each state-owned or state-leased motor
vehicle for driver reference. DOA also encourages Wisconsin residents
and state employees who use personal motor vehicles on state business to
use gasohol and alternative fuels.

(Reference [Wisconsin Statutes 16.045](http://legis.wisconsin.gov/rsb/stats.html))",,2010-05-20 00:00:00 UTC,false,40,Laws and Regulations,"",,,,,"",BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG,"",REQ,FLEET|GOV|IND,http://legis.wisconsin.gov/rsb/stats.html|https://docs.legis.wisconsin.gov/code/executive_orders/2003_jim_doyle/2006-141.pdf
5124,FL,Electric Vehicle (EV) Insurance Regulation,"Insurance companies may not impose surcharges on EVs based on factors
such as new technology, passenger payload, weight-to-horsepower ratio,
and the types of material used to manufacture the vehicle, unless the
Florida Office of Insurance Regulation receives actuarial data that
determines the surcharges are justified. (Reference [Florida
Statutes](http://www.flsenate.gov/Laws/) 627.06535)
",,,false,66,Laws and Regulations,"",,,,,"",ELEC|PHEV,"",OTHER,FLEET|GOV|IND,http://www.flsenate.gov/Laws/
5183,GA,High Occupancy Vehicle (HOV) and High Occupancy Toll (HOT) Lane Exemption,"Alternative fuel vehicles (AFVs) displaying the proper alternative fuel
license plate may use HOV and HOT lanes, regardless of the number of
passengers. Qualified AFVs may also use the HOT lanes toll-free. AFVs
include electric vehicles and bi-fuel or dual-fuel vehicles that operate
on natural gas or propane. Applicants must provide proof they have paid
registration fees in full before receiving the license plate. This
exemption expires September 30, 2025. For more information on fees and
eligibility for the AFV license plate, see the [Georgia Department of
Public Safety](https://dps.georgia.gov/i-85-expres-lanes-hot-lanes)
websites.

(Reference [Georgia Code 32-9-4, 40-2-86.1, and 40-6-54](http://www.legis.ga.gov/en-US/default.aspx))",2009-11-05 00:00:00 UTC,2015-05-04 00:00:00 UTC,false,45,State Incentives,"",2015-05-05 18:13:50 UTC,2025-10-01 00:00:00 UTC,,,"",AFTMKTCONV|ELEC|HY|NG|PHEV|LPG,EXEM,"",FLEET|GOV|IND,http://www.legis.ga.gov/en-US/default.aspx|http://www.legis.ga.gov/en-US/default.aspx
5236,IA,Alternative Fuel Vehicle (AFV) Demonstration Grant Authorization,"The Iowa Department of Natural Resources (Department) may award
demonstration grants to individuals who purchase vehicles that operate
on alternative fuels, including but not limited to E85, biodiesel,
compressed natural gas, electricity, solar energy, or hydrogen.
Individuals may use the grants to conduct research connected with the
fuel or vehicle. Grant funding to purchase the vehicle is available if
the Department retains the title of the vehicle, the vehicle is used for
research, and the proceeds from the eventual sale of the vehicle are
used for additional research. Grants are subject to funding
availability. (Reference [Iowa Code](https://www.legis.iowa.gov/)
214A.19)
",,2019-05-10 00:00:00 UTC,false,63,Laws and Regulations,"",2019-07-09 17:52:56 UTC,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV,"",OTHER,FLEET|IND,https://www.legis.iowa.gov/|https://www.legis.iowa.gov/
5267,NV,Alternative Fuel Vehicle (AFV) and Hybrid Electric Vehicle (HEV) Emissions Inspection Exemption,"AFVs are exempt from Nevada\'s emissions testing requirements. A new HEV
is exempt from emissions inspection testing for the first five model
years, after which the vehicle must comply with emissions inspection
testing requirements on an annual basis. For more information, see the
[Nevada Emissions Control Program](http://www.dmvnv.com/emission.htm)
website. (Reference [Nevada Revised
Statutes](http://www.leg.state.nv.us/law1.cfm) 445B.770 and 445B.825)
",,,false,15,State Incentives,"",,,,,"",ELEC|HEV|HY|NG|PHEV|LPG,EXEM,"",FLEET|GOV|IND,http://www.leg.state.nv.us/law1.cfm
5309,TX,Clean Vehicle and Infrastructure Grants,"The Texas Commission on Environmental Quality (TCEQ) administers the
Emissions Reduction Incentive Grants (ERIG) Program and Rebate Grants
Program as part of the Texas Emissions Reduction Plan (TERP). The ERIG
Program provides grants for various types of clean air projects to
improve air quality in the state\'s nonattainment areas and other
affected counties. Eligible projects include those that involve
replacement, retrofit, repower, or lease or purchase of new heavy-duty
vehicles; alternative fuel dispensing infrastructure; idle reduction and
electrification infrastructure; and alternative fuel use. The Rebate
Grants Program provides grants to upgrade or replace diesel heavy-duty
vehicles and non-road equipment. Qualifying projects must reduce
emissions of nitrogen oxides or other pollutants by at least 25% as
compared to baseline levels and must meet operational and fuel usage
requirements. For more information, including eligibility and the
application form, see the TCEQ
[TERP](https://www.tceq.texas.gov/airquality/terp/programs) website.
(Reference [Texas Statutes](http://www.statutes.legis.state.tx.us/)
Health and Safety Code 386 and [Texas Administrative
Code](http://www.sos.state.tx.us/tac/index.shtml) 114.620-114.629)
",,,false,25,State Incentives,"",2018-06-18 15:30:15 UTC,,,,"",AFTMKTCONV|BIOD|ETH|ELEC|HY|IR|NG|PHEV|LPG,GNT,"",STATION|FLEET|IND,http://www.statutes.legis.state.tx.us/
5316,OR,Pollution Control Equipment Exemption,"Dedicated original equipment manufacturer natural gas vehicles and
all-electric vehicles are not required to be equipped with a certified
pollution control system. (Reference [Oregon Revised
Statutes](https://www.oregonlegislature.gov/) 815.300)
",2001-01-01 00:00:00 UTC,,false,16,State Incentives,"",,,,,"",ELEC|NG,EXEM,"",FLEET|GOV|IND,http://www.leg.state.or.us/ors/home.htm
5334,WI,Alternative Fuel Tax Exemption,"A county, city, village, town, or other political subdivision may not
levy or collect any excise, license, privilege, or occupational tax on
motor vehicle fuel, alternative fuels, or the purchase, sale, handling,
or consumption of motor vehicle fuel or alternative fuels.

(Reference [Wisconsin Statutes 78.82](http://legis.wisconsin.gov/rsb/stats.html))",1993-08-10 00:00:00 UTC,,false,31,State Incentives,"",,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,EXEM|TAX,"",STATION|PURCH|FLEET|IND,http://legis.wisconsin.gov/rsb/stats.html
5338,OH,Alternative Fuel Vehicle Conversion,"It is unlawful to tamper with vehicle emissions control systems unless
the action is for the purpose of converting a motor vehicle to operate
on an alternative fuel and is in compliance with the standards adopted
under the Clean Air Act Amendments.

(Reference [Ohio Revised Code 3704.16-3704.162](http://codes.ohio.gov/orc/))",1993-09-27 00:00:00 UTC,,false,80,Laws and Regulations,"",,,,,"",AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",AIRQEMISSIONS,MAN|FLEET|GOV|IND,http://codes.ohio.gov/orc/
5359,CA,High Occupancy Vehicle (HOV) and High Occupancy Toll (HOT) Lane Exemption,"Compressed natural gas, hydrogen, electric, and plug-in hybrid electric
vehicles meeting specified California and federal emissions standards
and affixed with a California Department of Motor Vehicles (DMV) Clean
Air Vehicle sticker may use HOV lanes regardless of the number of
occupants in the vehicle. Purple stickers expire January 1, 2023; orange
stickers expire January 1, 2024; blue stickers expire January 1, 2025;
and yellow stickers expire September 30, 2025.

Residents with an annual income at or below 80% of California's median
income level may participate in the Income-Based CAV (IB-CAV) Decal
Program, which allows used vehicles with previously issued CAV decals to
retain eligibility for a CAV decal. IB-CAV decals are valid through
January 1, 2024. Additional requirements apply.

The California Department of Transportation must publish a report by
June 1, 2023, detailing the number of stickers issued under this
program. Vehicles originally issued white, green, or red decals are no
longer eligible to participate in this program. Vehicles with stickers
are also eligible for reduced rates on or exemptions from toll charges
imposed on HOT lanes. For more information and restrictions, including a
list of qualifying vehicles and additional eligibility requirements, see
the California Air Resources Board [Carpool
Stickers](http://www.arb.ca.gov/msprog/carpool/carpool.htm) website.

(Reference [California Vehicle Code 5205.5 and 21655.9](http://www.oal.ca.gov/))",2006-09-29 00:00:00 UTC,2018-09-13 00:00:00 UTC,false,25,State Incentives,"",2022-12-27 19:53:44 UTC,2024-01-01 00:00:00 UTC,,,"",ELEC|HY|NG|PHEV,EXEM,"",FLEET|GOV|IND,http://leginfo.legislature.ca.gov|http://leginfo.legislature.ca.gov/|http://leginfo.legislature.ca.gov/|http://www.oal.ca.gov/
5426,AZ,Alternative Fuel Vehicle (AFV) Parking Incentive,"An individual driving a dedicated AFV may park without penalty in
parking areas that are designated for carpool operators, provided the
vehicle is using alternative fuel. Recognized alternative fuels include
propane, natural gas, electricity, hydrogen, and a blend of hydrogen
with propane or natural gas.

(Reference [Arizona Revised Statutes 1-215 and 28-877](https://www.azleg.gov/ARStitle/))",2013-01-01 00:00:00 UTC,,false,25,State Incentives,"",,,,,"",ELEC|HY|NG|PHEV|LPG,EXEM,"",FLEET|GOV|IND,https://www.azleg.gov/ARStitle/
5492,MI,Alternative Fuel Vehicle (AFV) Emissions Inspection Exemption,"Dedicated AFVs powered by compressed natural gas, propane, electricity,
or any other source as defined by the Michigan Department of
Transportation are exempt from emissions inspection requirements.

(Reference [Michigan Compiled Laws 324.6311 and 324.6512](http://www.legislature.mi.gov/(S(d1yq0h4534qach5500tlbh55))/mileg.aspx?page=home))",1995-05-24 00:00:00 UTC,,false,32,State Incentives,"",,,,,"",ELEC|NG|LPG,EXEM,"",FLEET|GOV|IND,http://www.legislature.mi.gov/(S(d1yq0h4534qach5500tlbh55))/mileg.aspx?page=home
5574,IA,Alternative Fuel Vehicle (AFV) Conversion Registration,"When a motor vehicle is modified to use a different fuel type or more
than one type of fuel, the vehicle\'s registered owner must notify the
county treasurer of the new fuel type or alternative fuel types within
30 days. If the vehicle is able to use a special fuel, the county
treasurer will issue a special fuel identification sticker. (Reference
[Iowa Code](https://www.legis.iowa.gov/index.aspx) 321.41)
",,,false,105,Laws and Regulations,"",,,,,"",AFTMKTCONV|ELEC|NG|PHEV|LPG,"",REGIS,MAN|FLEET|GOV|IND,https://www.legis.iowa.gov/index.aspx
5596,AZ,Electric Vehicle (EV) Parking Space Regulation,"An individual is not allowed to stop, stand, or park a motor vehicle
within any parking space specifically designated for parking and
charging EVs unless the motor vehicle is an EV and has been issued an
alternative fuel vehicle special plate or sticker. Violators may be
subject to a civil penalty of at least \$350.

(Reference [Arizona Revised Statutes 28-876](https://www.azleg.gov/ARStitle/))",,,false,60,Laws and Regulations,"",,,,,"",ELEC|PHEV,"",OTHER,FLEET|GOV|IND,https://www.azleg.gov/ARStitle/
5606,MO,Alternative Fuel Vehicle (AFV) Emissions Inspection Exemption,"Vehicles powered exclusively by electricity, including low-speed
vehicles, hydrogen, or fuels other than gasoline that are exempt from
motor vehicle emissions inspection under federal regulation, are exempt
from state emissions inspection requirements. (Reference [Missouri
Revised Statutes](https://revisor.mo.gov/main/Home.aspx) 643.315)
",2011-05-05 00:00:00 UTC,,false,17,State Incentives,"",,,,,"",ELEC|HY|NG|LPG,EXEM,"",FLEET|GOV|IND,http://www.moga.mo.gov/
