"answerCount","creationTime","id","originalTitle","qid","title","url"
"32","2014-10-19T12:16:37.420Z","UXVlc3Rpb25AMDoyNTk3NDU3","{""sections"": [{""spans"": [{""text"": ""What is your review of Electric Cars?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","2597457","What is your review of Electric Cars?","https://www.quora.com/What-is-your-review-of-Electric-Cars"
"5","2018-10-29T12:54:52.028Z","UXVlc3Rpb25AMDozNjY1MTQ2OQ==","{""sections"": [{""spans"": [{""text"": ""What is your opinion on the decision of Austrian government to reward use of electric vehicles like Tesla cars?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","36651469","What is your opinion on the decision of Austrian government to reward use of electric vehicles like Tesla cars?","https://www.quora.com/What-is-your-opinion-on-the-decision-of-Austrian-government-to-reward-use-of-electric-vehicles-like-Tesla-cars"
"37","2022-06-26T11:31:49.301Z","UXVlc3Rpb25AMDoxMjA3MDY3OTk=","{""sections"": [{""spans"": [{""text"": ""What is your opinion of states charging electric vehicle owners a special tax to make up for the gasoline road taxes they don't pay?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","120706799","What is your opinion of states charging electric vehicle owners a special tax to make up for the gasoline road taxes they don't pay?","https://www.quora.com/What-is-your-opinion-of-states-charging-electric-vehicle-owners-a-special-tax-to-make-up-for-the-gasoline-road-taxes-they-dont-pay"
"3","2023-06-09T07:32:00.335Z","UXVlc3Rpb25AMDoxNjIxMzI0Mzc=","{""sections"": [{""spans"": [{""text"": ""In your opinion, what is the biggest challenge facing the cybersecurity of electric vehicle charging networks today?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","162132437","In your opinion, what is the biggest challenge facing the cybersecurity of electric vehicle charging networks today?","https://www.quora.com/In-your-opinion-what-is-the-biggest-challenge-facing-the-cybersecurity-of-electric-vehicle-charging-networks-today"
"3","2023-06-17T16:33:54.045Z","UXVlc3Rpb25AMDoxNjI3NTEwNjY=","{""sections"": [{""spans"": [{""text"": ""What is your opinion on the future of electric vehicles and their role in fighting climate change?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","162751066","What is your opinion on the future of electric vehicles and their role in fighting climate change?","https://www.quora.com/What-is-your-opinion-on-the-future-of-electric-vehicles-and-their-role-in-fighting-climate-change"
"2","2023-05-31T13:37:44.127Z","UXVlc3Rpb25AMDoxNjE0OTkwMTU=","{""sections"": [{""spans"": [{""text"": ""What is your opinion on the future of electric vehicles given recent battery recalls and safety concerns?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","161499015","What is your opinion on the future of electric vehicles given recent battery recalls and safety concerns?","https://www.quora.com/What-is-your-opinion-on-the-future-of-electric-vehicles-given-recent-battery-recalls-and-safety-concerns"
"5","2023-06-19T16:37:30.698Z","UXVlc3Rpb25AMDoxNjI4OTQ1NTI=","{""sections"": [{""spans"": [{""text"": ""In your opinion, what impact will widespread adoption of electric vehicles have on global energy consumption and emissions?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","162894552","In your opinion, what impact will widespread adoption of electric vehicles have on global energy consumption and emissions?","https://www.quora.com/In-your-opinion-what-impact-will-widespread-adoption-of-electric-vehicles-have-on-global-energy-consumption-and-emissions"
"7","2019-06-26T01:02:20.255Z","UXVlc3Rpb25AMDo1MTA0NDk3Mg==","{""sections"": [{""spans"": [{""text"": ""What do you think of the Jaguar I-Pace? I saw one today and thought meh."", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","51044972","What do you think of the Jaguar I-Pace? I saw one today and thought meh.","https://www.quora.com/What-do-you-think-of-the-Jaguar-I-Pace-I-saw-one-today-and-thought-meh"
"3","2021-05-18T18:09:32.261Z","UXVlc3Rpb25AMDo5MjYzMzY3OA==","{""sections"": [{""spans"": [{""text"": ""Eleven states are proposing additional registration fees, user fees, and other charges on hybrid and electric vehicles. What is your opinion of such charges?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","92633678","Eleven states are proposing additional registration fees, user fees, and other charges on hybrid and electric vehicles. What is your opinion of such charges?","https://www.quora.com/Eleven-states-are-proposing-additional-registration-fees-user-fees-and-other-charges-on-hybrid-and-electric-vehicles-What-is-your-opinion-of-such-charges"
"1245","2019-04-03T19:31:24.771Z","UXVlc3Rpb25AMDo0NTE3MTc3Nw==","{""sections"": [{""spans"": [{""text"": ""My teenager wants only an Apple phone. We tried to explain that we can't afford it, and she stopped speaking with us. What should we do?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","45171777","My teenager wants only an Apple phone. We tried to explain that we can't afford it, and she stopped speaking with us. What should we do?","https://www.quora.com/My-teenager-wants-only-an-Apple-phone-We-tried-to-explain-that-we-cant-afford-it-and-she-stopped-speaking-with-us-What-should-we-do"
"470","2015-11-30T15:16:04.833Z","UXVlc3Rpb25AMDo2MDM4OTA3","{""sections"": [{""spans"": [{""text"": ""If the US asked if Canada wanted to merge and make one big US, would they do it?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","6038907","If the US asked if Canada wanted to merge and make one big US, would they do it?","https://www.quora.com/If-the-US-asked-if-Canada-wanted-to-merge-and-make-one-big-US-would-they-do-it"
"488","2010-10-04T14:42:57.405Z","UXVlc3Rpb25AMDo3Njg5Mw==","{""sections"": [{""spans"": [{""text"": ""What makes the US healthcare system so expensive?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","76893","What makes the US healthcare system so expensive?","https://www.quora.com/What-makes-the-US-healthcare-system-so-expensive"
"305","2012-04-17T22:03:49.519Z","UXVlc3Rpb25AMDo2Mjk4ODk=","{""sections"": [{""spans"": [{""text"": ""How would a war between the US and China play out?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","629889","How would a war between the US and China play out?","https://www.quora.com/How-would-a-war-between-the-US-and-China-play-out"
"240","2017-11-07T09:55:16.421Z","UXVlc3Rpb25AMDoyMDQ0MTc0MA==","{""sections"": [{""spans"": [{""text"": ""Why does the US Marine Corps mock the US Army, but the US Army doesn't mock the US Marine Corps that much?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","20441740","Why does the US Marine Corps mock the US Army, but the US Army doesn't mock the US Marine Corps that much?","https://www.quora.com/Why-does-the-US-Marine-Corps-mock-the-US-Army-but-the-US-Army-doesnt-mock-the-US-Marine-Corps-that-much"
"938","2017-03-08T14:47:37.644Z","UXVlc3Rpb25AMDoxMzQ1OTc5Mw==","{""sections"": [{""spans"": [{""text"": ""How can people live in the US knowing that guns are legal? Do they live in fear?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","13459793","How can people live in the US knowing that guns are legal? Do they live in fear?","https://www.quora.com/How-can-people-live-in-the-US-knowing-that-guns-are-legal-Do-they-live-in-fear"
"407","2015-06-11T06:45:26.384Z","UXVlc3Rpb25AMDo0Mjk2MDcx","{""sections"": [{""spans"": [{""text"": ""Why do window seats of a train or a bus make us think deeply about life?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","4296071","Why do window seats of a train or a bus make us think deeply about life?","https://www.quora.com/Why-do-window-seats-of-a-train-or-a-bus-make-us-think-deeply-about-life"
"1542","2017-10-17T21:25:38.179Z","UXVlc3Rpb25AMDoxOTgyNTEwNQ==","{""sections"": [{""spans"": [{""text"": ""I am terrified of single-payer systems as implemented in socialist countries. Can this happen in the US? Was Obama trying to give everyone healthcare all along?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","19825105","I am terrified of single-payer systems as implemented in socialist countries. Can this happen in the US? Was Obama trying to give everyone healthcare all along?","https://www.quora.com/I-am-terrified-of-single-payer-systems-as-implemented-in-socialist-countries-Can-this-happen-in-the-US-Was-Obama-trying-to-give-everyone-healthcare-all-along"
"199","2016-01-15T05:37:38.292Z","UXVlc3Rpb25AMDo2NTcwNTA1","{""sections"": [{""spans"": [{""text"": ""Why won't China side with the US to destroy North Korea? Is the US military the reason why China supports North Korea?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","6570505","Why won't China side with the US to destroy North Korea? Is the US military the reason why China supports North Korea?","https://www.quora.com/Why-wont-China-side-with-the-US-to-destroy-North-Korea-Is-the-US-military-the-reason-why-China-supports-North-Korea"
"354","2012-05-05T01:20:47.920Z","UXVlc3Rpb25AMDo2NDM3NDI=","{""sections"": [{""spans"": [{""text"": ""Will the United States ever collapse?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","643742","Will the United States ever collapse?","https://www.quora.com/Will-the-United-States-ever-collapse"
"21","2023-01-17T09:24:37.947Z","UXVlc3Rpb25AMDoxNDkwOTE4OTQ=","{""sections"": [{""spans"": [{""text"": ""What is your opinion about a bill in Wyoming calling for a ban on electric vehicles by 2035?https://www.pcmag.com/news/wyoming-wants-to-ban-electric-vehicles-by-2035"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","149091894","What is your opinion about a bill in Wyoming calling for a ban on electric vehicles by 2035?https://www.pcmag.com/news/wyoming-wants-to-ban-electric-vehicles-by-2035","https://www.quora.com/What-is-your-opinion-about-a-bill-in-Wyoming-calling-for-a-ban-on-electric-vehicles-by-2035-https-www-pcmag-com-news-wyoming-wants-to-ban-electric-vehicles-by-2035"
"2","2023-06-02T20:58:05.419Z","UXVlc3Rpb25AMDoxNjE2NzQzODk=","{""sections"": [{""spans"": [{""text"": ""What is your opinion on the future of electric vehicle maker Tesla based on its recent stock performance?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","161674389","What is your opinion on the future of electric vehicle maker Tesla based on its recent stock performance?","https://www.quora.com/What-is-your-opinion-on-the-future-of-electric-vehicle-maker-Tesla-based-on-its-recent-stock-performance"
"1","2023-06-20T10:47:06.218Z","UXVlc3Rpb25AMDoxNjI5NDU2Mjg=","{""sections"": [{""spans"": [{""text"": ""In your opinion, what role should government policies play in promoting the adoption of electric vehicles and supporting charging infrastructure?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","162945628","In your opinion, what role should government policies play in promoting the adoption of electric vehicles and supporting charging infrastructure?","https://www.quora.com/In-your-opinion-what-role-should-government-policies-play-in-promoting-the-adoption-of-electric-vehicles-and-supporting-charging-infrastructure"
"1","2023-06-09T11:51:55.350Z","UXVlc3Rpb25AMDoxNjIxNDY5NTk=","{""sections"": [{""spans"": [{""text"": ""What is your unpopular opinion on the future of electric vehicle companies like Nio?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","162146959","What is your unpopular opinion on the future of electric vehicle companies like Nio?","https://www.quora.com/What-is-your-unpopular-opinion-on-the-future-of-electric-vehicle-companies-like-Nio"
"12","2022-06-22T14:39:34.792Z","UXVlc3Rpb25AMDoxMjAzOTkwNjQ=","{""sections"": [{""spans"": [{""text"": ""In your opinion, what matters most when choosing an electric vehicle?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","120399064","In your opinion, what matters most when choosing an electric vehicle?","https://www.quora.com/In-your-opinion-what-matters-most-when-choosing-an-electric-vehicle"
"1","2023-06-02T15:49:00.754Z","UXVlc3Rpb25AMDoxNjE2NTg0MTU=","{""sections"": [{""spans"": [{""text"": ""What is your opinion on the future of EV charging infrastructure and its impact on the adoption of electric vehicles?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","161658415","What is your opinion on the future of EV charging infrastructure and its impact on the adoption of electric vehicles?","https://www.quora.com/What-is-your-opinion-on-the-future-of-EV-charging-infrastructure-and-its-impact-on-the-adoption-of-electric-vehicles"
"12","2023-05-30T03:37:44.853Z","UXVlc3Rpb25AMDoxNjEzOTExMTk=","{""sections"": [{""spans"": [{""text"": ""What\u2019s your opinion about zero percent tax on electric vehicles?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","161391119","What’s your opinion about zero percent tax on electric vehicles?","https://www.quora.com/What-s-your-opinion-about-zero-percent-tax-on-electric-vehicles"
"0","2022-12-23T02:45:12.673Z","UXVlc3Rpb25AMDoxNDQ1MTM4MTc=","{""sections"": [{""spans"": [{""text"": ""What is your opinion of electric vehicles (Chevy Bolt, Nissan Leaf) compared to traditional cars?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","144513817","What is your opinion of electric vehicles (Chevy Bolt, Nissan Leaf) compared to traditional cars?","https://www.quora.com/unanswered/What-is-your-opinion-of-electric-vehicles-Chevy-Bolt-Nissan-Leaf-compared-to-traditional-cars"
"2","2022-06-30T02:35:37.299Z","UXVlc3Rpb25AMDoxMjEwMjc1NzE=","{""sections"": [{""spans"": [{""text"": ""What is your opinion of states charging electric vehicle owners a special tax to make up for the gasoline road taxes they don't pay?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","121027571","What is your opinion of states charging electric vehicle owners a special tax to make up for the gasoline road taxes they don't pay?","https://renewablenews.quora.com/What-is-your-opinion-of-states-charging-electric-vehicle-owners-a-special-tax-to-make-up-for-the-gasoline-road-taxes-the"
"8","2019-10-01T15:56:56.121Z","UXVlc3Rpb25AMDo1NzgyNjk5NA==","{""sections"": [{""spans"": [{""text"": ""What are your opinions on electric vehicles reducing carbon footprints?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","57826994","What are your opinions on electric vehicles reducing carbon footprints?","https://www.quora.com/What-are-your-opinions-on-electric-vehicles-reducing-carbon-footprints"
"442","2011-05-21T03:30:42.382Z","UXVlc3Rpb25AMDozMjM2NDE=","{""sections"": [{""spans"": [{""text"": ""Why does the US support Israel? What benefit does the US get out of this alliance?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","323641","Why does the US support Israel? What benefit does the US get out of this alliance?","https://www.quora.com/Why-does-the-US-support-Israel-What-benefit-does-the-US-get-out-of-this-alliance"
"89","2014-07-16T06:54:59.699Z","UXVlc3Rpb25AMDoyMTc3MjQ2","{""sections"": [{""spans"": [{""text"": ""Is an MS degree in the US worth all of the expense?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","2177246","Is an MS degree in the US worth all of the expense?","https://www.quora.com/Is-an-MS-degree-in-the-US-worth-all-of-the-expense"
"721","2016-01-20T16:21:53.492Z","UXVlc3Rpb25AMDo2NjQwNzYy","{""sections"": [{""spans"": [{""text"": ""Which is better to live in - USA or UK?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","6640762","Which is better to live in - USA or UK?","https://www.quora.com/Which-is-better-to-live-in-USA-or-UK"
"345","2015-03-21T15:56:34.482Z","UXVlc3Rpb25AMDozNTY3MzQz","{""sections"": [{""spans"": [{""text"": ""Are the United States and Iran going to have a war?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","3567343","Are the United States and Iran going to have a war?","https://www.quora.com/Are-the-United-States-and-Iran-going-to-have-a-war"
"210","2014-02-25T01:37:25.274Z","UXVlc3Rpb25AMDoxNjYxNjIy","{""sections"": [{""spans"": [{""text"": ""How would you invade the United States?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","1661622","How would you invade the United States?","https://www.quora.com/How-would-you-invade-the-United-States"
"1357","2022-04-21T16:48:59.808Z","UXVlc3Rpb25AMDoxMTU5MzIwOTU=","{""sections"": [{""spans"": [{""text"": ""My 20-year-old daughter wants to move in with us until she is finished with college. She says she will pay the bills but she is a grown adult. How do I tell her that adults leave the nest?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","115932095","My 20-year-old daughter wants to move in with us until she is finished with college. She says she will pay the bills but she is a grown adult. How do I tell her that adults leave the nest?","https://humanpsychologyfacts.quora.com/My-20-year-old-daughter-wants-to-move-in-with-us-until-she-is-finished-with-college-She-says-she-will-pay-the-bills-but-2"
"2241","2020-11-18T09:25:05.736Z","UXVlc3Rpb25AMDo4MTI2MDIzOA==","{""sections"": [{""spans"": [{""text"": ""My 20-year-old daughter wants to move in with us until she is finished with college. She says she will pay the bills but she is a grown adult. How do I tell her that adults leave the nest?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","81260238","My 20-year-old daughter wants to move in with us until she is finished with college. She says she will pay the bills but she is a grown adult. How do I tell her that adults leave the nest?","https://www.quora.com/My-20-year-old-daughter-wants-to-move-in-with-us-until-she-is-finished-with-college-She-says-she-will-pay-the-bills-but-she-is-a-grown-adult-How-do-I-tell-her-that-adults-leave-the-nest"
"712","2014-12-16T08:23:06.529Z","UXVlc3Rpb25AMDoyOTE4NzMy","{""sections"": [{""spans"": [{""text"": ""What's wrong with the US healthcare system?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","2918732","What's wrong with the US healthcare system?","https://www.quora.com/Whats-wrong-with-the-US-healthcare-system"
"2231","2015-07-15T12:32:41.428Z","UXVlc3Rpb25AMDo0NjIxMTAw","{""sections"": [{""spans"": [{""text"": ""What is the most depressing one liner?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","4621100","What is the most depressing one liner?","https://www.quora.com/What-is-the-most-depressing-one-liner"
"661","2015-05-27T02:04:45.964Z","UXVlc3Rpb25AMDo0MTUyMTIy","{""sections"": [{""spans"": [{""text"": ""Will the United States ever go to war with China?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","4152122","Will the United States ever go to war with China?","https://www.quora.com/Will-the-United-States-ever-go-to-war-with-China"
"1","2022-10-30T06:08:02.391Z","UXVlc3Rpb25AMDoxMzYyODE3MzQ=","{""sections"": [{""spans"": [{""text"": ""What is your opinion on Tesla's electric vehicles? Do you think that they will be the future of electric vehicles or do you think that traditional car companies will have a better vision for electric vehicles? Why?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","136281734","What is your opinion on Tesla's electric vehicles? Do you think that they will be the future of electric vehicles or do you think that traditional car companies will have a better vision for electric vehicles? Why?","https://www.quora.com/What-is-your-opinion-on-Teslas-electric-vehicles-Do-you-think-that-they-will-be-the-future-of-electric-vehicles-or-do-you-think-that-traditional-car-companies-will-have-a-better-vision-for-electric-vehicles-Why"
"2","2023-06-08T07:25:56.954Z","UXVlc3Rpb25AMDoxNjIwNTU3MjM=","{""sections"": [{""spans"": [{""text"": ""What is the opinion of Katherine Copsey, Greens transport spokesperson, on Victoria's decision to cut electric vehicle subsidies?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","162055723","What is the opinion of Katherine Copsey, Greens transport spokesperson, on Victoria's decision to cut electric vehicle subsidies?","https://www.quora.com/What-is-the-opinion-of-Katherine-Copsey-Greens-transport-spokesperson-on-Victorias-decision-to-cut-electric-vehicle-subsidies"
"3","2022-07-04T07:40:42.565Z","UXVlc3Rpb25AMDoxMjEzOTE5NjM=","{""sections"": [{""spans"": [{""text"": ""What is your opinion of states charging electric vehicle owners a special tax to make up for the gasoline road taxes they don't pay?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","121391963","What is your opinion of states charging electric vehicle owners a special tax to make up for the gasoline road taxes they don't pay?","https://governmentsubsidies.quora.com/What-is-your-opinion-of-states-charging-electric-vehicle-owners-a-special-tax-to-make-up-for-the-gasoline-road-taxes-the"
"9","2020-06-16T14:50:21.169Z","UXVlc3Rpb25AMDo3MzE4MjcyNA==","{""sections"": [{""spans"": [{""text"": ""What is your opinion about Tesla being the first electric vehicle to go 400 miles on a single charge?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","73182724","What is your opinion about Tesla being the first electric vehicle to go 400 miles on a single charge?","https://www.quora.com/What-is-your-opinion-about-Tesla-being-the-first-electric-vehicle-to-go-400-miles-on-a-single-charge"
"6","2022-12-28T04:57:46.846Z","UXVlc3Rpb25AMDoxNDUyNjY4NzM=","{""sections"": [{""spans"": [{""text"": ""In your opinion, when will electric vehicles (EVs) become more cost efficient than internal combustion engines (ICEs)?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","145266873","In your opinion, when will electric vehicles (EVs) become more cost efficient than internal combustion engines (ICEs)?","https://www.quora.com/In-your-opinion-when-will-electric-vehicles-EVs-become-more-cost-efficient-than-internal-combustion-engines-ICEs"
"6","2022-11-28T17:28:49.390Z","UXVlc3Rpb25AMDoxNDA2ODkyMDQ=","{""sections"": [{""spans"": [{""text"": ""What is your opinion on electric vehicles? Will they replace gasoline cars eventually?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","140689204","What is your opinion on electric vehicles? Will they replace gasoline cars eventually?","https://www.quora.com/What-is-your-opinion-on-electric-vehicles-Will-they-replace-gasoline-cars-eventually"
"11","2022-06-10T15:59:40.793Z","UXVlc3Rpb25AMDoxMTk0ODAwMzQ=","{""sections"": [{""spans"": [{""text"": ""What is your opinion on complaining on gas price instead of using electric vehicles as suggested in green new deal?"", ""modifiers"": {}}], ""indent"": 0, ""quoted"": false, ""type"": ""plain"", ""is_rtl"": false}]}","119480034","What is your opinion on complaining on gas price instead of using electric vehicles as suggested in green new deal?","https://www.quora.com/What-is-your-opinion-on-complaining-on-gas-price-instead-of-using-electric-vehicles-as-suggested-in-green-new-deal"
